O,N,B,S,P,SSA,PV,RMIC,Dap,ID/IG,M,Anion,CC,AML,PW,CD,Cs
7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,0.939857465670085,1.4883901429403017,1.029,2,SO4,carbon cloth,1.0,1.6,0.1,85.0
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,0.9313917122752149,1.555961070559611,1.038,2,SO4,carbon cloth,1.0,1.6,0.1,114.0
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.1,90.2
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.25,86.3
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.5,79.9
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,1.0,70.3
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,2.0,64.8
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,5.0,51.5
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,10.0,38.5
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,20.0,23.3
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.1,69.1
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.25,60.1
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.5,56.4
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,1.0,47.4
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,2.0,40.9
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,5.0,34.2
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,10.0,19.8
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,20.0,9.5
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.1,136.3
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.25,126.4
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.5,120.3
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,1.0,112.6
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,2.0,108.4
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,5.0,100.4
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,10.0,94.5
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,20.0,86.5
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.6062639821029083,2.0341296928327646,2.27,2,SO4,stainless-steel foil,1.0,1.6,0.1,136.8
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.6062639821029083,2.0341296928327646,2.27,2,SO4,stainless-steel foil,1.0,1.6,0.5,110.9
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.6062639821029083,2.0341296928327646,2.27,2,SO4,stainless-steel foil,1.0,1.6,1.0,102.6
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.6062639821029083,2.0341296928327646,2.27,2,SO4,stainless-steel foil,1.0,1.6,5.0,76.1
8.2,5.3,0.0,0.0,0.0,879.0,0.447,0.6062639821029083,2.0341296928327646,2.27,2,SO4,stainless-steel foil,1.0,1.6,10.0,66.5
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,0.05,109.66
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,0.1,93.3
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,0.2,84.6
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,0.3,81.0
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,0.5,76.3
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,1.0,71.6
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,2.0,67.6
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,3.0,65.1
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,5.0,62.4
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,10.0,59.5
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,15.0,58.4
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,0.3262411347517731,7.91,0.95,2,SO4,nickel foam,2.0,1.6,20.0,57.1
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.1,133.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.2,102.5
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,0.5,84.3
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,1.0,75.0
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,2.0,69.1
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,5.0,61.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,10.0,56.6
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,20.0,51.9
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,50.0,45.6
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,100.0,39.7
11.5,6.7,0.0,0.0,0.0,642.0,1.03,0.14563106796116504,3.73,0.964,1,SO4,stainless-steel mesh,2.0,1.6,200.0,30.6
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.1,104.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.2,83.0
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,0.5,69.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,1.0,61.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,2.0,56.0
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,5.0,50.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,10.0,46.6
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,20.0,43.7
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,50.0,39.1
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,100.0,35.4
14.9,3.1,0.0,0.0,0.0,620.0,0.86,0.15116279069767444,3.66,0.962,1,SO4,stainless-steel mesh,2.0,1.6,200.0,30.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.1,92.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.2,73.1
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,0.5,62.4
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,1.0,56.0
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,2.0,51.3
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,5.0,45.7
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,10.0,42.3
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,20.0,38.9
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,50.0,33.3
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,100.0,28.7
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,200.0,27.2
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.1,204.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.2,181.5
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.5,165.9
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,1.0,152.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,2.0,141.1
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,5.0,134.2
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,10.0,128.6
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.1,134.5
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.2,110.2
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.4,93.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.5,86.7
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,1.0,72.9
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,2.0,57.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,3.0,48.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,4.0,41.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.1,156.54
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.2,132.3
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.3,111.55
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.4,105.4
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.5,98.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,1.0,86.8
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,2.0,70.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,3.0,59.2
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,4.0,51.8
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.1,84.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.2,63.4
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.4,50.7
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.5,45.0
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,1.0,34.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,2.0,24.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,3.0,19.7
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,4.0,17.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,0.2,153.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,0.5,125.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,1.0,110.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,2.0,98.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,5.0,84.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,10.0,75.0
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.5,2.27,0.855,1,SO4,stainless-steel foil,1.5,1.6,0.5,117.9
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.5,2.27,0.855,1,SO4,stainless-steel foil,1.5,1.6,20.0,71.0
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.5774647887323944,2.17,0.858,1,SO4,stainless-steel foil,1.5,1.6,0.5,136.2
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.5774647887323944,2.17,0.858,1,SO4,stainless-steel foil,1.5,1.6,20.0,75.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.36538461538461536,2.32,0.856,1,SO4,stainless-steel foil,1.5,1.6,0.5,165.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.36538461538461536,2.32,0.856,1,SO4,stainless-steel foil,1.5,1.6,20.0,110.9
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.1,119.9
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.2,108.3
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.5,100.2
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,1.0,94.6
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,2.0,90.4
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,5.0,84.8
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,20.0,81.1
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,2.0,1.6,0.1,159.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,2.0,1.6,0.2,139.2
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,0.5,124.8
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,1.0,116.0
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,2.0,109.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,5.0,101.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,20.0,94.0
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.1,114.2
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.2,104.8
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.5,95.6
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,1.0,90.0
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,2.0,86.8
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,5.0,82.4
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,20.0,78.5
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,0.5,48.3
