O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
7.15,3.52,1546.1,0.5753,93.98574657,1.488390143,1.029,2,1,1,1.6,0.1,85
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,0.1,90.2
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,0.25,86.3
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,0.5,79.9
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,1,70.3
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,2,64.8
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,5,51.5
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,10,38.5
21.55,3.29,1140.8,0.86,20.93023256,3.01542777,0.82,1,0,2.5,1.8,20,23.3
8.2,5.3,879,0.447,60.62639821,2.034129693,2.27,2,1,1,1.6,0.1,136.8
8.2,5.3,879,0.447,60.62639821,2.034129693,2.27,2,1,1,1.6,0.5,110.9
8.2,5.3,879,0.447,60.62639821,2.034129693,2.27,2,1,1,1.6,1,102.6
8.2,5.3,879,0.447,60.62639821,2.034129693,2.27,2,1,1,1.6,5,76.1
8.2,5.3,879,0.447,60.62639821,2.034129693,2.27,2,1,1,1.6,10,66.5
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,0.05,109.66
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,0.1,93.3
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,0.2,84.6
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,0.3,81
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,0.5,76.3
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,1,71.6
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,2,67.6
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,3,65.1
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,5,62.4
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,10,59.5
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,15,58.4
5.68,1.49,1640.1,1.41,32.62411348,7.91,0.95,2,1,2,1.6,20,57.1
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,0.1,133.7
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,0.2,102.5
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,0.5,84.3
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,1,75
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,2,69.1
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,5,61.7
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,10,56.6
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,20,51.9
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,50,45.6
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,100,39.7
11.5,6.7,642,1.03,14.5631068,3.73,0.964,1,1,2,1.6,200,30.6
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,0.1,104.4
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,0.2,83
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,0.5,69.7
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,1,61.7
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,2,56
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,5,50.4
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,10,46.6
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,20,43.7
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,50,39.1
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,100,35.4
14.9,3.1,620,0.86,15.11627907,3.66,0.962,1,1,2,1.6,200,30.4
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,0.1,92.4
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,0.2,73.1
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,0.5,62.4
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,1,56
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,2,51.3
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,5,45.7
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,10,42.3
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,20,38.9
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,50,33.3
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,100,28.7
11.2,4.2,697,0.83,21.68674699,3.21,0.958,1,1,2,1.6,200,27.2
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,0.1,204.7
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,0.2,181.5
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,0.5,165.9
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,1,152.7
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,2,141.1
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,5,134.2
12.04,8.29,1530.9,0.96,38.54166667,2.508328434,0.86,1,0,2.4,1.6,10,128.6
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,0.1,134.5
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,0.2,110.2
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,0.4,93
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,0.5,86.7
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,1,72.9
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,2,57
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,3,48
20.61,3.95,544.83,0.26,95.446286,1.908852303,0.96,2,1,2,1.8,4,41.5
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,0.1,156.54
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,0.2,132.3
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,0.3,111.55
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,0.4,105.4
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,0.5,98.5
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,1,86.8
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,2,70.5
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,3,59.2
18.15,3.51,648.22,0.32,94.93690414,1.97463824,1.01,2,1,2,1.8,4,51.8
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,0.1,84.5
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,0.2,63.4
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,0.4,50.7
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,0.5,45
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,1,34.5
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,2,24.5
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,3,19.7
15.17,1.8,225.22,0.1,92.01225468,1.81,1.08,2,1,2,1.8,4,17
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,0.2,153
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,0.5,125
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,1,110
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,2,98
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,5,84
11.92,0,2228,1.07,59.81308411,1.921005386,1.5,1,1,2,1.75,10,75
5.5,2.53,947,0.54,50,2.27,0.855,1,1,1.5,1.6,0.5,117.9
5.5,2.53,947,0.54,50,2.27,0.855,1,1,1.5,1.6,20,71
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,0.1,119.9
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,0.2,108.3
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,0.5,100.2
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,1,94.6
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,2,90.4
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,5,84.8
9.64,3.44,1624,0.918,65.25054466,2.261083744,0.999,1,1,2,1.6,20,81.1
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,2,1.6,0.1,159.9
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,2,1.6,0.2,139.2
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,10,1.6,0.5,124.8
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,10,1.6,1,116
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,10,1.6,2,109.9
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,10,1.6,5,101.9
8.42,1.64,1949,1.133,45.80759047,2.325295023,0.917,1,1,10,1.6,20,94
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,0.1,114.2
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,0.2,104.8
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,0.5,95.6
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,1,90
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,2,86.8
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,5,82.4
5.52,0.89,2276,1.331,20.96168295,2.339191564,0.872,1,1,2,1.6,20,78.5
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,0.5,48.3
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,1,43.4
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,2,38.9
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,3,36.5
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,4,34.8
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,5,33.2
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,7,30.2
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,10,26.7
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,15,24.7
7.71,0,804,0.315,62.18905473,1.567164179,0.97,1,1,1.2,1.6,20,21.6
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,0.5,177.7
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,1,148.5
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,2,135.5
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,3,127.9
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,4,122.1
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,5,117
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,7,107.5
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,10,102.9
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,15,91.3
8.06,0,1770,0.721,57.62711864,1.629378531,1.1,1,1,1.2,1.6,20,85.5
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,0.5,108.2
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,1,96.6
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,2,86.9
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,3,82
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,4,78.7
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,5,75.2
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,7,72
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,10,67.1
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,15,60.5
9.3,0,1781,0.784,53.34081976,1.760808535,1.18,1,1,1.2,1.6,20,57
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,0.05,108.5
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,0.1,85.9
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,0.2,73.1
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,0.3,68.7
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,0.5,65
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,1,60.8
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,2,55.3
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,3,52.7
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,5,49.2
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,10,44.5
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,15,41.6
6.99,1.59,2465.9,1.29,0,2.092542277,0.912,2,1,2,1.8,20,41
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,0.1,189.4
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,0.2,154.5
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,0.5,131.5
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,1,130.4
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,2,117.9
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,3,112.3
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,4,107.7
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,5,104.9
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,7,102.2
3.9,9.7,844,0.41,77.36966825,1.943127962,0.99,1,1,1,2,10,100.3
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,0.2,104.9
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,0.5,91
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,1,84.9
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,2,78.2
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,3,74.2
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,4,70.8
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,5,68.5
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,10,60.3
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,15,56.5
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,20,52.1
4.81,1.09,972.4,1.67,22.9020979,6.869600987,0.82,2,1,2.5,1.6,30,44.8
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,0.2,132.9
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,0.5,114.4
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,1,108.9
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,2,99.4
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,3,95.6
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,4,91.1
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,5,89.9
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,10,83.3
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,15,80.8
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,20,76.6
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,30,73.3
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,40,68.8
4.89,1.74,1666.8,2.42,10.68514519,5.807535397,0.88,2,1,2.5,1.6,50,65.2
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,0.2,67.8
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,0.5,59.8
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,1,56.8
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,2,53.2
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,3,51.7
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,4,49.9
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,5,49.2
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,10,45.5
