O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,1,161.1
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,2,150.8
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,3,144.4
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,4,141.2
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,5,138.6
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,7,134
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,10,129.3
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,14,124.5
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,20,118.7
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,50,103
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,70,88.8
12.89,3.05,3224.9,1.93,48.1865285,2.393872678,0.94,2,1,1,1.6,100,73.8
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,0.1,193
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,0.2,160.1
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,0.5,141.2
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,1,129.3
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,2,120.9
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,3,116.7
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,4,112.9
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,5,110.9
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,7,108.3
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,10,104.5
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,14,102
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,20,99.4
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,50,91
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,70,79.4
10.45,2.44,2993.2,1.71,53.21637427,2.285179741,0.91,2,1,1,1.6,100,70.2
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,0.1,189.3
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,0.2,160.1
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,0.5,133.8
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,1,123.8
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,2,116.1
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,5,106.5
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,10,101.1
6.2,1.6,2691.29,1.77,32.76836158,2.630708694,1.088,2,1,1.1,1.79,20,96.7
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,0.5,89.33333333
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,1,80.44444444
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,2,76.44444444
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,5,71.11111111
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,10,65.77777778
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,20,58.22222222
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,50,44.88888889
8.2,0,1500,0.78,69.23076923,2.1,1.01,1,1,2,1.6,100,18.22222222
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,0.5,81.77777778
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,1,76
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,2,67.11111111
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,5,62.22222222
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,10,56.44444444
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,20,50.66666667
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,50,40.88888889
6.3,0,1886,0.93,70.96774194,1.98,1.04,1,1,2,1.6,100,28.44444444
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,0.5,136.8888889
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,1,113.3333333
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,2,102.2222222
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,5,92.44444444
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,10,85.77777778
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,20,79.11111111
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,50,72
6.8,0,1410,0.77,63.63636364,2.19,1.09,1,1,2,1.6,100,61.77777778
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,0.5,73.33333333
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,1,64.44444444
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,2,59.11111111
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,5,54.66666667
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,10,51.55555556
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,20,45.33333333
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,50,41.77777778
4.3,0,1655,0.81,71.60493827,1.95,1.05,1,1,2,1.6,100,31.55555556
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,0.5,127.5
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,1,117.1
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,2,106.8
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,5,87.8
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,10,67.9
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,20,42.4
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,30,23.9
6.15,13.57,1274.8,0.551,71.50635209,1.728898651,1.97,2,1,1,1.6,60,17.4
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,0.5,194.4
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,1,178.5
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,2,165.5
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,5,147.4
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,10,131.8
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,20,113.7
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,30,102.5
6.82,2.11,3407.6,1.953,29.390681,2.292522597,2.41,2,1,1,1.6,60,77.9
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,0.5,199.1
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,1,183
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,2,172.4
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,5,159.6
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,10,150.3
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,20,139.9
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,30,130.1
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,1,1.6,60,118.8
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,3,1.6,0.5,134.3
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,5,1.6,0.5,112.6
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,10,1.6,0.5,103.4
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,20,1.6,0.5,94
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,30,1.6,0.5,85.3
7.48,2.67,3553.1,2.071,26.65379044,2.331485182,2.79,2,1,45,1.6,0.5,73.5
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,0.5,169.3
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,1,155.4
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,2,144.7
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,5,134
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,10,125.7
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,20,118.9
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,30,114.5
6.93,1.98,3415.3,2.482,15.99516519,2.906918865,2.82,2,1,1,1.6,60,105.9
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,0.1,74
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,0.5,60.4
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,1,53.6
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,2,43.4
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,5,37.7
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,10,28.2
10.58,1.47,2290,0.93,88.17204301,1.624454148,0.9567,2,1,1.5,1.6,20,14.7
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,0.1,117.1
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,0.5,93.5
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,1,81.4
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,2,67
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,5,58.7
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,10,49.5
14.26,1.82,3166,1.7,51.76470588,2.147820594,1.044,2,1,1.5,1.6,20,45.8
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,0.1,142.2
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,0.5,113.3
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,1,99.4
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,2,85.8
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,5,79.7
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,10,72.2
14.02,1.93,3292,1.54,69.48051948,1.871202916,1.048,2,1,1.5,1.6,20,66.1
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,0.1,166.8
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,0.5,141.4
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,1,132
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,2,116.5
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,5,108.8
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,10,98.9
18.75,2.74,3518,1.57,77.70700637,1.785105173,1.102,2,1,1.5,1.6,20,86.9
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,0.2,158.0444444
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,0.3,148.1333333
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,0.5,139.6
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,1,132.6222222
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,2,128.8444444
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,3,121.9111111
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,5,113.8666667
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,8,106.5333333
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,10,102.6222222
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,20,89.15555556
2.05,4.25,1141.9,0.575,77.55495227,2.014186882,1.08,1,0,1.5,1.6,30,80.31111111
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,0.2,134.1333333
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,0.3,128.7111111
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,0.5,123.7777778
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,1,116.9333333
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,2,112.1777778
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,3,106.5333333
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,5,97.82222222
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,8,90.66666667
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,10,86.26666667
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,20,77.02222222
3.55,7.37,933.1,0.38,81.32033008,1.628978673,1.09,1,0,1.5,1.6,30,67.2
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,0.2,118.9777778
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,0.3,115.2444444
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,0.5,110.1333333
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,1,103.6444444
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,2,97.68888889
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,3,93.95555556
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,5,88.26666667
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,8,80.8
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,10,76.4
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,20,68.71111111
7.6,3.95,1162.9,0.448,80.9957864,1.540975148,1.11,1,0,1.5,1.6,30,60
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,0.2,77.845
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,0.5,73.751
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,0.8,69.751
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,1,67.186
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,2,59.587
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,5,49.14
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,8,43.634
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,10,39.446
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,0.5,108.5
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,1,96.3
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,2,85.3
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,5,83.4
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,10,72.9
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,20,66.5
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,0.2,209.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,0.5,184.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,1,168
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,2,155.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,5,140.8
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,10,117.2
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,20,105.7
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.1,115.44
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.2,104.4
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.5,96.6
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.8,93.1
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,1,90.1
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,2,84.7
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,5,75.5
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,8,69.4
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,10,66.4
